Round,Thrown: Joshua,Thrown: Usyk,Landed: Joshua,Landed: Usyk,Jabs Thrown: Joshua,Jabs Thrown: Usyk,Jabs Landed: Joshua,Jabs Landed: Usyk,Power Punches Thrown: Joshua,Power Punches Thrown: Usyk,Power Punches Landed: Joshua,Power Punches Landed: Usyk
1,21,47,7,6,14,33,4,3,7,14,3,3
2,28,48,10,6,14,38,2,2,14,10,8,4
3,29,52,7,10,12,30,2,0,17,22,5,10
4,37,55,7,12,12,32,2,0,25,23,5,12
5,26,34,4,7,16,22,1,2,10,12,3,5
6,43,65,8,13,19,37,1,3,24,28,7,10
7,42,55,10,12,25,32,4,3,17,23,6,9
8,50,77,14,16,26,44,2,8,24,33,12,8
9,67,47,28,9,17,27,4,1,50,20,24,8
10,47,95,10,39,18,39,1,7,29,56,9,32
11,56,80,10,23,23,37,0,5,33,43,10,18
12,46,57,9,17,16,26,0,5,30,31,9,12
