Round,Thrown: Mayweather,Thrown: Pacquiao,Landed: Mayweather,Landed: Pacquiao,Jabs Thrown: Mayweather,Jabs Thrown: Pacquiao,Jabs Landed: Mayweather,Jabs Landed: Pacquiao,Power Punches Thrown: Mayweather,Power Punches Thrown: Pacquiao,Power Punches Landed: Mayweather,Power Punches Landed: Pacquiao
1,36,29,8,3,28,23,5,1,8,6,3,2
2,32,44,11,6,14,23,5,0,18,21,6,6
3,27,35,15,5,12,15,4,2,15,20,11,3
4,31,50,7,12,22,8,3,0,9,42,4,12
5,37,17,11,3,23,12,5,2,14,5,6,1
6,38,52,21,14,25,14,13,1,13,38,8,13
7,41,30,15,6,31,18,9,4,10,12,6,2
8,43,27,15,5,32,14,10,1,11,13,5,4
9,35,40,11,6,18,16,2,1,17,24,9,5
10,32,39,9,11,19,18,3,4,13,21,6,7
11,45,37,17,6,24,16,6,0,21,21,11,6
12,38,29,8,4,19,16,2,2,19,13,6,2
